,KL1,KL2,NLL_mcmc,NLL_snf,NLL_diffusion
52,2.8253966335897878,3.2705309456158465,-71.64623413085937,-70.74187622070312,-67.51434936523438
53,6.2594418691234734,6.275304283795263,-73.172216796875,-72.7147216796875,-71.489501953125
54,4.696312994833106,4.9159913981702354,-70.85101318359375,-70.30696411132813,-69.09124755859375
55,5.4420381296354154,6.057651016935172,-68.0298583984375,-67.7335205078125,-65.77579956054687
56,5.81500661881393,6.165839008785127,-67.5369873046875,-67.27695922851562,-65.64331665039063
57,4.190820219015315,4.74834689788997,-69.86141967773438,-69.32535400390626,-67.40603637695312
58,3.6247674827075147,4.19103023575966,-69.975390625,-69.33657836914062,-65.85892944335937
59,5.5908139593919755,6.809038313015447,-68.66387329101562,-68.41260986328125,-66.51128540039062
60,4.6666346772311,5.641698305523853,-62.2150146484375,-61.590911865234375,-59.62857666015625
61,5.849053526204967,6.346547043088293,-71.59678344726562,-71.3835205078125,-69.49196166992188
62,1.8847301974037072,2.789414715019411,-71.83209838867188,-70.59136962890625,-65.8495361328125
63,5.487341415997952,5.74151171920606,-74.188232421875,-73.89129638671875,-72.3932373046875
64,4.275632343456277,5.3780571819688605,-67.2827392578125,-66.6217529296875,-64.33045654296875
65,5.447228127038564,6.2192913037242405,-69.20963134765626,-68.85280151367188,-67.64453125
66,4.155897119551519,5.127155841279531,-67.44661254882813,-67.061083984375,-64.0517333984375
67,6.558499487947116,7.451268960910004,-67.07161865234374,-66.88773803710937,-65.02509155273438
68,7.000062567130744,7.498227490524009,-69.1397216796875,-68.91920166015625,-67.83269653320312
69,3.8494859025496964,4.311486551537572,-72.123779296875,-71.5435546875,-68.64304809570312
70,6.254326801045966,6.821835316524351,-67.52621459960938,-67.33070068359375,-65.94326782226562
71,2.99775425440721,3.0182664738984633,-65.4840087890625,-64.37811279296875,-62.13450317382812
72,3.312650286446848,3.746978406175791,-74.57288208007813,-73.97022705078125,-71.7170654296875
73,6.028560145613106,6.799656144829894,-72.606103515625,-72.273388671875,-70.36612548828126
74,6.392081854577505,6.574486804562063,-67.4862548828125,-67.085888671875,-65.2103515625
75,5.902365841463479,6.525164095958448,-71.59885864257812,-71.39913330078124,-70.01990356445313
76,5.329295877014059,5.553319698745493,-68.43447265625,-67.85260009765625,-66.36488037109375
77,3.2802921991041707,3.5758028310420227,-73.381103515625,-72.59907836914063,-70.37051391601562
78,6.376190947178934,6.926843826314136,-75.45321044921874,-75.23136596679687,-72.846337890625
79,6.740361260324774,6.687307958408918,-70.17556762695312,-69.891162109375,-69.06650390625
80,5.681839347696711,7.363028253164538,-64.50574951171875,-64.34541625976563,-62.05601196289062
